road_corridor,slope_deg,elevation_m,rainfall_1h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_clay_percent,distance_to_river_m,vegetation_ndvi,historical_incidents,road_quality,p_landslide_true,landslide_occurred,p_flood_true,flood_occurred,inundation_depth_cm,risk_multiplier
Guwahati-Jalukbari-Khanapara Urban,49.3,1595.0,49.6,367.2,750.0,22.7,403.4,0.547,1,2,0.931,1,0.4928,1,95.7,4.66
NH-06 (Guwahati-Shillong),21.4,859.5,0.6,1.5,1.9,20.1,2026.8,0.476,2,4,0.0354,0,0.0227,0,0.0,1.25
Guwahati-Jalukbari-Khanapara Urban,24.9,916.7,5.1,9.2,12.7,15.3,525.6,0.237,3,3,0.0686,0,0.0517,0,0.0,1.5
NH-15 (North Bank Brahmaputra),46.1,1809.6,3.3,9.4,15.4,41.5,788.6,0.608,0,3,0.2907,0,0.0384,0,0.0,1.98
NH-15 (North Bank Brahmaputra),46.0,1175.9,42.5,245.4,635.1,25.8,191.5,0.71,3,4,0.9301,1,0.619,1,101.1,4.48
NH-06 (Guwahati-Shillong),42.6,1827.0,56.9,234.7,717.5,21.0,594.3,0.88,2,3,0.9123,1,0.3911,1,100.4,4.37
NH-06 (Guwahati-Shillong),44.8,1871.5,1.0,51.9,147.6,27.8,1578.8,0.785,5,4,0.8428,1,0.0339,0,0.0,3.04
NH-37 (Silchar-Imphal),38.3,1936.5,14.0,110.2,353.7,35.0,1460.5,0.316,1,1,0.9124,1,0.1752,0,0.0,3.78
NH-06 (Guwahati-Shillong),25.8,2045.8,3.5,8.8,14.2,35.1,353.2,0.548,0,4,0.0546,0,0.0709,0,0.0,1.34
NH-06 (Guwahati-Shillong),29.9,1147.3,38.0,260.6,558.5,29.7,355.0,0.657,1,2,0.7701,1,0.5248,1,86.4,4.31
NH-27 (East-West Corridor),22.8,939.9,12.6,108.6,354.4,34.8,1510.0,0.426,2,2,0.6038,1,0.1567,1,33.6,3.19
NH-06 (Guwahati-Shillong),54.1,1427.1,1.4,3.5,6.4,32.1,2282.0,0.69,2,2,0.3452,0,0.0257,0,0.0,2.23
NH-37 (Silchar-Imphal),40.1,1036.7,2.4,3.1,4.6,47.9,230.2,0.677,2,2,0.28,1,0.1084,0,0.0,2.17
NH-37 (Silchar-Imphal),32.2,1462.0,64.3,380.0,750.0,16.2,628.4,0.773,5,4,0.8504,1,0.3651,1,96.1,4.06
NH-37 (Silchar-Imphal),34.9,1655.3,29.4,190.8,435.3,49.7,479.3,0.694,4,3,0.8966,0,0.4463,1,60.3,4.17
NH-10 (Siliguri-Gangtok),55.7,1623.5,16.2,109.7,307.5,24.8,1786.4,0.601,3,2,0.945,1,0.1647,0,0.0,3.69
Guwahati-Jalukbari-Khanapara Urban,21.6,1042.9,51.0,372.4,716.2,43.9,219.8,0.435,5,2,0.6499,0,0.6288,1,111.1,4.18
NH-06 (Guwahati-Shillong),40.2,658.7,0.3,0.7,1.2,31.2,339.7,0.317,3,1,0.3222,1,0.0812,0,0.0,2.39
NH-10 (Siliguri-Gangtok),36.8,1146.5,56.3,338.8,750.0,26.8,1267.0,0.589,5,3,0.9161,1,0.2783,0,0.0,3.59
NH-37 (Silchar-Imphal),41.3,613.8,0.8,2.0,2.8,39.6,192.1,0.477,3,3,0.3105,0,0.1136,0,0.0,2.1
NH-37 (Silchar-Imphal),15.8,1996.7,1.2,2.0,3.0,45.8,692.7,0.495,4,2,0.0329,0,0.0435,0,0.0,1.57
NH-37 (Silchar-Imphal),52.5,989.9,52.8,380.0,750.0,33.0,616.9,0.752,2,4,0.9316,1,0.3759,1,99.8,4.25
NH-06 (Guwahati-Shillong),55.1,635.8,3.0,5.8,10.5,33.7,475.7,0.796,5,4,0.3906,0,0.0539,0,0.0,2.06
NH-10 (Siliguri-Gangtok),39.3,397.1,34.4,169.3,515.2,17.4,551.5,0.328,1,1,0.9124,1,0.4235,1,79.2,4.62
NH-10 (Siliguri-Gangtok),45.0,1544.8,3.1,8.0,15.7,52.0,753.9,0.512,4,2,0.4,1,0.0424,0,0.0,2.37
NH-27 (East-West Corridor),54.7,1528.3,0.2,0.3,0.4,48.9,290.8,0.472,2,4,0.3508,1,0.0815,0,0.0,2.0
Guwahati-Jalukbari-Khanapara Urban,45.4,980.1,0.4,0.5,0.8,30.9,828.9,0.607,3,4,0.3154,0,0.0331,0,0.0,1.88
NH-37 (Silchar-Imphal),21.6,482.7,1.6,3.6,4.2,45.6,1459.6,0.142,4,1,0.0623,0,0.0301,0,0.0,1.77
NH-15 (North Bank Brahmaputra),39.8,1107.8,5.9,15.7,19.4,27.5,1292.2,0.287,3,5,0.3009,0,0.0267,0,0.0,1.69
NH-27 (East-West Corridor),41.1,925.8,0.2,0.4,0.7,44.2,283.7,0.529,2,1,0.3062,1,0.0956,0,0.0,2.37
NH-06 (Guwahati-Shillong),33.2,1602.7,21.9,93.4,307.2,35.7,279.3,0.692,3,3,0.8578,1,0.379,1,45.6,3.9
NH-27 (East-West Corridor),46.7,1470.7,0.3,0.4,0.6,33.4,399.8,0.564,8,1,0.4092,0,0.071,0,0.0,2.57
NH-37 (Silchar-Imphal),55.2,1024.5,2.0,5.8,10.6,17.3,508.4,0.671,3,5,0.3283,0,0.0468,0,0.0,1.77
NH-27 (East-West Corridor),54.8,753.1,19.3,138.1,430.3,53.6,570.0,0.586,3,3,0.9488,1,0.3609,1,52.2,4.14
NH-37 (Silchar-Imphal),34.4,2177.9,26.4,193.7,529.1,48.5,1060.8,0.78,3,3,0.878,1,0.2996,1,52.8,3.92
NH-27 (East-West Corridor),19.9,1189.9,0.1,0.4,0.5,46.7,196.7,0.817,5,2,0.0437,0,0.1181,0,0.0,1.66
NH-37 (Silchar-Imphal),57.3,1623.3,35.2,273.9,750.0,27.2,178.2,0.413,2,2,0.9447,1,0.6561,0,0.0,4.18
NH-10 (Siliguri-Gangtok),51.1,610.0,23.8,142.0,394.2,26.6,547.9,0.709,4,4,0.9418,1,0.361,0,0.0,3.58
NH-27 (East-West Corridor),20.4,1248.3,2.0,4.4,7.0,37.9,1105.7,0.641,2,5,0.0312,0,0.0271,0,0.0,1.1
NH-10 (Siliguri-Gangtok),54.6,400.9,2.3,3.8,5.1,48.8,322.0,0.88,4,5,0.3573,1,0.0728,0,0.0,1.86
Guwahati-Jalukbari-Khanapara Urban,52.4,1285.1,50.2,351.3,750.0,52.4,970.7,0.406,4,4,0.953,1,0.3057,1,77.9,4.13
Guwahati-Jalukbari-Khanapara Urban,37.3,2133.4,20.9,190.1,532.8,25.8,390.7,0.529,2,4,0.8915,1,0.4659,0,0.0,3.57
Guwahati-Jalukbari-Khanapara Urban,40.4,1060.8,12.4,93.3,320.3,39.3,1887.8,0.364,4,5,0.9289,1,0.098,0,0.0,3.14
NH-27 (East-West Corridor),32.2,422.1,2.5,3.3,5.8,44.0,1958.3,0.375,3,1,0.189,0,0.0282,0,0.0,2.04
Guwahati-Jalukbari-Khanapara Urban,17.4,407.3,1.5,4.1,7.1,24.1,432.2,0.619,5,2,0.0359,0,0.0631,0,0.0,1.59
NH-10 (Siliguri-Gangtok),29.4,1067.8,6.5,73.3,257.9,31.3,359.1,0.587,6,1,0.8203,1,0.168,0,0.0,3.57
NH-10 (Siliguri-Gangtok),49.5,646.0,3.7,7.7,11.4,22.5,573.9,0.647,5,3,0.3937,1,0.0478,0,0.0,2.21
NH-15 (North Bank Brahmaputra),15.2,393.2,3.4,6.9,8.0,43.0,370.1,0.644,3,5,0.0242,0,0.0651,0,0.0,1.12
NH-15 (North Bank Brahmaputra),29.3,1749.0,23.9,176.2,514.7,49.6,1042.7,0.508,1,3,0.7712,1,0.2967,0,0.0,3.29
NH-15 (North Bank Brahmaputra),32.1,1198.3,1.8,2.9,3.6,50.1,1549.3,0.506,5,3,0.1997,0,0.0268,0,0.0,1.77
Guwahati-Jalukbari-Khanapara Urban,38.1,885.1,27.8,166.2,555.8,41.8,1044.5,0.375,3,4,0.9159,1,0.281,0,0.0,3.44
Guwahati-Jalukbari-Khanapara Urban,54.6,2015.2,17.5,76.6,176.5,28.9,1541.4,0.424,3,5,0.9208,1,0.0827,1,5.0,3.15
NH-06 (Guwahati-Shillong),29.9,564.9,0.7,1.8,2.5,41.4,554.7,0.54,4,4,0.1306,0,0.0467,0,0.0,1.48
NH-06 (Guwahati-Shillong),29.9,2118.4,9.3,81.6,259.4,49.6,286.0,0.585,1,5,0.7494,0,0.2151,0,0.0,2.86
NH-27 (East-West Corridor),46.7,930.8,0.5,0.6,0.7,40.0,1221.4,0.678,3,2,0.3477,0,0.0298,0,0.0,2.24
NH-06 (Guwahati-Shillong),34.4,1993.5,39.6,202.4,481.3,31.5,507.6,0.66,4,3,0.8864,1,0.4285,0,0.0,3.67
NH-10 (Siliguri-Gangtok),24.7,1465.4,0.6,1.3,2.6,51.8,1040.0,0.83,3,3,0.0597,0,0.0314,0,0.0,1.46
NH-10 (Siliguri-Gangtok),34.5,1879.4,0.4,1.2,1.9,48.4,402.5,0.375,2,2,0.2096,1,0.069,0,0.0,1.98
NH-27 (East-West Corridor),21.1,2170.4,20.3,169.2,371.7,50.3,217.8,0.508,3,2,0.5891,1,0.6156,0,0.0,3.36
NH-27 (East-West Corridor),22.6,883.6,0.5,0.6,1.1,51.1,4073.1,0.391,4,5,0.0534,0,0.0221,0,0.0,1.14
NH-37 (Silchar-Imphal),36.4,2128.1,20.8,178.1,485.2,30.8,285.9,0.78,4,3,0.9012,1,0.5461,0,0.0,3.82
NH-06 (Guwahati-Shillong),33.0,1070.5,0.6,0.9,1.6,49.4,3716.8,0.46,2,3,0.1718,0,0.0245,0,0.0,1.7
NH-37 (Silchar-Imphal),54.3,1063.2,2.5,7.3,11.6,37.8,3177.6,0.758,2,2,0.3522,1,0.0261,0,0.0,2.25
Guwahati-Jalukbari-Khanapara Urban,30.6,979.7,1.7,1.8,2.1,16.5,1413.2,0.812,2,5,0.0959,0,0.0233,0,0.0,1.23
NH-15 (North Bank Brahmaputra),40.0,1351.6,8.6,20.1,23.7,40.4,1011.7,0.624,2,3,0.3017,0,0.036,0,0.0,2.0
NH-15 (North Bank Brahmaputra),42.2,635.2,18.4,40.9,78.0,33.8,839.8,0.603,4,1,0.6039,1,0.0672,0,0.0,3.0
NH-10 (Siliguri-Gangtok),15.6,1374.4,20.6,134.0,299.2,26.0,1758.5,0.557,0,2,0.3764,1,0.2239,0,0.0,2.5
NH-27 (East-West Corridor),43.5,1352.2,47.4,279.6,693.5,53.8,423.4,0.493,4,5,0.9398,1,0.4551,0,0.0,3.52
Guwahati-Jalukbari-Khanapara Urban,22.7,1759.5,29.3,202.8,449.1,17.2,654.4,0.471,3,5,0.5676,0,0.3419,1,53.3,2.99
NH-37 (Silchar-Imphal),56.3,1892.3,22.5,160.4,339.1,52.8,922.8,0.523,3,3,0.9501,1,0.3051,1,73.0,4.24
Guwahati-Jalukbari-Khanapara Urban,21.4,1164.8,6.3,7.5,13.7,21.4,573.7,0.878,3,3,0.0375,0,0.0485,0,0.0,1.43
Guwahati-Jalukbari-Khanapara Urban,32.8,909.3,62.8,380.0,750.0,30.1,596.2,0.362,2,5,0.8405,1,0.3691,1,91.7,3.89
NH-27 (East-West Corridor),18.7,829.8,1.5,1.8,3.0,31.7,470.7,0.587,6,4,0.0368,0,0.0532,0,0.0,1.28
NH-06 (Guwahati-Shillong),57.9,710.1,24.9,193.5,681.7,44.2,814.5,0.678,3,5,0.9408,1,0.3115,0,0.0,3.38
NH-27 (East-West Corridor),36.6,456.6,1.6,2.9,3.9,23.6,1670.8,0.499,2,3,0.2152,1,0.0251,0,0.0,1.8
NH-27 (East-West Corridor),40.6,983.5,47.6,352.8,750.0,54.4,330.0,0.625,4,5,0.9287,1,0.5121,0,0.0,3.55
NH-06 (Guwahati-Shillong),17.9,850.0,31.0,214.3,516.9,45.0,2329.7,0.279,4,3,0.5447,0,0.2563,0,0.0,2.75
NH-06 (Guwahati-Shillong),47.2,2137.9,68.3,380.0,750.0,46.6,1084.6,0.789,3,3,0.9385,1,0.3011,1,104.5,4.34
NH-27 (East-West Corridor),24.0,1381.8,3.6,51.2,215.8,19.3,1536.5,0.754,4,1,0.5497,1,0.041,0,0.0,2.85
NH-06 (Guwahati-Shillong),53.6,992.5,15.6,89.8,258.1,34.1,799.9,0.532,4,3,0.9476,1,0.1542,0,0.0,3.54
NH-10 (Siliguri-Gangtok),23.8,1423.9,36.4,272.7,691.4,52.8,1359.5,0.392,5,4,0.6981,1,0.2711,1,55.4,3.37
Guwahati-Jalukbari-Khanapara Urban,23.2,607.5,0.8,1.0,1.5,25.8,163.1,0.693,3,3,0.0472,0,0.1222,1,16.2,1.65
Guwahati-Jalukbari-Khanapara Urban,16.6,1171.5,1.2,3.3,5.5,20.8,1514.7,0.343,4,3,0.0317,1,0.0256,0,0.0,1.4
NH-37 (Silchar-Imphal),35.3,1508.5,1.3,1.5,2.7,34.4,182.8,0.369,1,3,0.1918,1,0.1163,0,0.0,1.84
NH-27 (East-West Corridor),39.3,1254.5,0.7,1.9,3.4,52.2,1915.2,0.54,0,5,0.2163,0,0.023,0,0.0,1.5
Guwahati-Jalukbari-Khanapara Urban,17.8,1093.3,1.0,2.5,3.4,34.5,4008.9,0.823,5,3,0.0339,0,0.024,0,0.0,1.4
Guwahati-Jalukbari-Khanapara Urban,48.3,2188.6,1.8,4.3,6.8,31.2,428.6,0.665,1,2,0.3101,0,0.0644,0,0.0,2.2
Guwahati-Jalukbari-Khanapara Urban,34.5,1978.6,1.7,4.9,5.9,41.0,338.9,0.434,4,1,0.2497,1,0.0841,0,0.0,2.23
NH-06 (Guwahati-Shillong),37.5,1503.3,8.9,76.5,170.7,52.5,1309.8,0.247,2,4,0.8786,1,0.0714,1,5.0,3.19
NH-06 (Guwahati-Shillong),34.0,1403.3,83.7,380.0,750.0,17.0,383.4,0.557,6,3,0.8886,1,0.4884,0,0.0,3.74
Guwahati-Jalukbari-Khanapara Urban,32.2,1498.2,0.8,1.1,1.6,21.1,1755.3,0.595,3,1,0.1637,1,0.0273,0,0.0,1.99
NH-10 (Siliguri-Gangtok),39.1,722.4,1.9,2.8,3.5,20.3,236.8,0.537,2,3,0.2451,0,0.0965,0,0.0,1.93
NH-06 (Guwahati-Shillong),21.7,1081.0,0.3,0.5,0.5,18.4,257.7,0.875,3,5,0.0328,0,0.081,0,0.0,1.15
Guwahati-Jalukbari-Khanapara Urban,22.8,423.0,0.6,1.3,2.0,27.1,3246.4,0.526,3,5,0.0437,0,0.0213,0,0.0,1.12
NH-37 (Silchar-Imphal),52.1,1229.8,78.0,380.0,750.0,24.2,1046.3,0.139,1,1,0.9446,1,0.3199,0,0.0,3.99
Guwahati-Jalukbari-Khanapara Urban,55.7,1354.6,0.2,0.3,0.5,36.9,1651.3,0.477,5,2,0.4357,1,0.0268,0,0.0,2.44
NH-15 (North Bank Brahmaputra),31.1,771.3,51.1,266.3,630.7,28.1,463.6,0.632,0,1,0.7903,1,0.4764,1,94.4,4.49
NH-15 (North Bank Brahmaputra),26.6,2133.5,1.3,46.3,181.7,31.2,1052.8,0.62,2,4,0.4815,1,0.0377,0,0.0,2.25
NH-27 (East-West Corridor),42.7,2032.5,17.2,114.1,374.2,52.7,871.6,0.518,3,1,0.9425,1,0.2479,1,45.0,4.26
Guwahati-Jalukbari-Khanapara Urban,32.6,1686.0,2.1,4.3,6.2,21.2,889.4,0.488,2,1,0.1641,0,0.0369,0,0.0,2.0
NH-27 (East-West Corridor),16.1,1336.8,18.1,119.3,350.0,30.5,1067.9,0.19,2,2,0.4687,0,0.2245,1,57.2,3.13
NH-37 (Silchar-Imphal),21.7,1959.4,1.1,2.0,2.3,25.3,835.2,0.565,4,5,0.0417,0,0.0312,0,0.0,1.12
NH-37 (Silchar-Imphal),45.8,591.7,4.9,12.6,15.1,37.0,598.4,0.489,4,4,0.3764,0,0.0462,0,0.0,2.02
NH-10 (Siliguri-Gangtok),43.3,1812.4,3.1,3.6,5.3,44.5,408.3,0.595,3,3,0.3282,0,0.0656,0,0.0,2.09
Guwahati-Jalukbari-Khanapara Urban,16.2,580.9,0.7,2.1,3.5,47.7,1320.8,0.638,3,4,0.0266,0,0.0265,0,0.0,1.23
NH-06 (Guwahati-Shillong),24.5,1819.3,5.2,9.5,10.7,35.6,355.2,0.773,3,4,0.0568,0,0.0715,0,0.0,1.35
NH-10 (Siliguri-Gangtok),24.9,860.2,0.8,1.3,2.1,49.2,1093.0,0.378,2,4,0.0617,0,0.0289,0,0.0,1.31
NH-15 (North Bank Brahmaputra),43.9,1972.6,38.6,223.0,637.1,46.4,362.6,0.317,4,1,0.9523,1,0.5402,1,64.8,4.72
NH-10 (Siliguri-Gangtok),15.8,2096.5,79.8,380.0,750.0,21.3,935.4,0.447,6,3,0.4967,1,0.3104,1,83.2,3.32
NH-27 (East-West Corridor),19.5,625.3,4.1,9.3,14.7,24.8,1249.7,0.418,3,4,0.0356,0,0.0271,0,0.0,1.26
NH-10 (Siliguri-Gangtok),49.4,1205.9,1.3,1.3,2.1,41.9,347.5,0.401,0,3,0.3062,0,0.0738,0,0.0,2.05
NH-15 (North Bank Brahmaputra),22.7,2164.8,6.2,65.4,224.0,54.0,199.5,0.81,0,1,0.4903,0,0.2228,0,0.0,2.9
NH-15 (North Bank Brahmaputra),43.1,1244.3,2.2,3.7,6.6,30.0,262.3,0.577,5,2,0.3716,0,0.096,0,0.0,2.36
NH-10 (Siliguri-Gangtok),25.2,1947.6,70.6,332.3,750.0,24.2,895.1,0.88,5,5,0.6667,1,0.2949,0,0.0,2.76
NH-10 (Siliguri-Gangtok),19.3,1439.2,20.2,133.7,428.6,49.8,1664.7,0.549,2,4,0.4922,0,0.2135,0,0.0,2.44
NH-15 (North Bank Brahmaputra),25.5,1044.4,1.3,2.6,4.4,23.0,186.8,0.339,2,4,0.0611,0,0.1077,0,0.0,1.39
NH-27 (East-West Corridor),46.1,878.7,4.9,12.1,15.5,42.9,1209.9,0.405,4,4,0.3902,0,0.0289,0,0.0,2.04
NH-37 (Silchar-Imphal),51.8,726.0,0.0,0.0,0.0,16.4,484.0,0.734,1,2,0.2966,0,0.0555,0,0.0,2.16
NH-10 (Siliguri-Gangtok),50.7,1759.3,3.1,8.8,12.1,15.8,670.9,0.346,2,1,0.3709,0,0.046,0,0.0,2.46
NH-37 (Silchar-Imphal),32.1,1065.1,0.1,0.2,0.3,33.1,2264.5,0.65,6,3,0.1782,0,0.0241,0,0.0,1.72
NH-37 (Silchar-Imphal),43.7,1295.9,46.3,319.5,750.0,41.3,472.7,0.486,2,3,0.9314,1,0.451,1,98.7,4.47
NH-15 (North Bank Brahmaputra),23.8,1260.8,2.0,4.6,5.7,20.7,650.9,0.383,4,4,0.0592,0,0.04,0,0.0,1.32
NH-15 (North Bank Brahmaputra),27.6,1418.0,2.3,6.3,8.1,45.6,161.0,0.8,5,2,0.112,0,0.1358,0,0.0,1.83
NH-15 (North Bank Brahmaputra),53.5,1951.3,78.0,380.0,750.0,20.1,218.1,0.444,1,2,0.9356,1,0.6202,1,119.9,4.8
NH-15 (North Bank Brahmaputra),15.6,2164.4,1.1,2.7,4.5,36.3,389.4,0.401,2,1,0.0281,0,0.0737,0,0.0,1.73
NH-27 (East-West Corridor),18.7,1104.0,1.8,2.5,4.2,27.3,172.6,0.536,5,3,0.0389,0,0.1195,0,0.0,1.5
NH-37 (Silchar-Imphal),23.9,1880.9,0.1,0.4,0.6,45.1,948.4,0.459,4,2,0.0688,0,0.0344,0,0.0,1.64
NH-15 (North Bank Brahmaputra),16.1,1764.4,0.3,0.8,1.6,47.2,594.7,0.88,1,2,0.022,0,0.0491,0,0.0,1.55
NH-27 (East-West Corridor),22.8,1411.0,44.7,201.4,517.5,17.6,785.5,0.741,3,2,0.586,1,0.3468,0,0.0,3.08
NH-10 (Siliguri-Gangtok),40.1,2118.7,1.5,3.1,4.9,22.7,303.6,0.444,7,2,0.3398,0,0.0843,0,0.0,2.28
NH-06 (Guwahati-Shillong),33.1,720.9,31.7,225.1,704.4,50.7,430.7,0.464,5,2,0.8998,1,0.4888,1,76.3,4.49
NH-27 (East-West Corridor),53.4,552.1,1.5,2.9,5.7,31.6,1022.1,0.186,0,3,0.3263,1,0.0309,0,0.0,2.05
NH-15 (North Bank Brahmaputra),50.2,1929.8,4.9,14.5,24.5,34.1,2838.9,0.575,1,3,0.3398,0,0.0258,0,0.0,2.07
NH-06 (Guwahati-Shillong),29.7,1162.4,0.0,0.0,0.1,21.7,191.4,0.416,5,1,0.152,0,0.1209,1,5.0,2.09
NH-10 (Siliguri-Gangtok),26.2,1916.9,27.7,163.0,338.0,54.8,1918.6,0.566,4,3,0.7414,0,0.2533,0,0.0,3.18
NH-06 (Guwahati-Shillong),31.3,2002.2,0.2,0.2,0.3,51.9,838.1,0.196,1,4,0.1366,0,0.034,0,0.0,1.48
Guwahati-Jalukbari-Khanapara Urban,40.4,465.5,0.0,0.0,0.0,15.1,813.9,0.545,3,1,0.2928,0,0.0381,0,0.0,2.28
Guwahati-Jalukbari-Khanapara Urban,26.5,1984.4,43.3,232.3,673.0,37.0,705.0,0.856,2,5,0.6536,1,0.3386,0,0.0,2.77
NH-15 (North Bank Brahmaputra),41.8,1179.4,1.1,1.6,2.7,49.9,207.5,0.56,1,2,0.287,0,0.1154,0,0.0,2.2
NH-10 (Siliguri-Gangtok),32.6,1294.3,3.2,5.8,8.7,32.2,225.3,0.411,6,1,0.2242,0,0.1138,0,0.0,2.21
NH-37 (Silchar-Imphal),38.7,1509.2,26.1,113.8,362.9,32.5,884.9,0.546,1,2,0.9032,1,0.261,0,0.0,3.7
NH-37 (Silchar-Imphal),33.8,2063.8,2.0,5.0,7.4,30.2,483.6,0.538,1,1,0.1735,0,0.0611,0,0.0,2.04
NH-27 (East-West Corridor),27.7,385.4,37.6,229.9,727.6,16.2,2143.7,0.88,4,3,0.7325,1,0.2488,0,0.0,3.16
NH-15 (North Bank Brahmaputra),55.8,1232.2,0.5,0.8,0.9,46.6,567.5,0.49,3,2,0.3961,0,0.0511,0,0.0,2.37
Guwahati-Jalukbari-Khanapara Urban,47.8,1622.3,8.0,51.0,211.5,33.3,273.7,0.333,2,4,0.9008,0,0.1295,0,0.0,3.26
NH-27 (East-West Corridor),21.0,1687.0,24.8,158.2,487.2,36.2,1153.4,0.554,2,4,0.5212,1,0.2624,1,61.6,3.02
NH-10 (Siliguri-Gangtok),52.3,1631.2,3.6,9.4,15.6,25.2,427.8,0.585,5,3,0.4151,0,0.0624,0,0.0,2.27
NH-06 (Guwahati-Shillong),36.0,598.7,16.6,158.1,478.2,46.4,746.3,0.651,5,3,0.9148,0,0.3272,0,0.0,3.64
NH-15 (North Bank Brahmaputra),53.5,903.9,10.6,97.2,371.4,46.7,1107.4,0.686,3,3,0.9448,1,0.1311,0,0.0,3.51
NH-15 (North Bank Brahmaputra),49.4,1013.6,3.2,3.8,7.3,37.1,1994.2,0.88,0,2,0.2819,0,0.0265,0,0.0,2.1
Guwahati-Jalukbari-Khanapara Urban,33.3,1838.2,0.5,0.5,0.7,51.2,1406.9,0.443,1,2,0.1708,0,0.0288,1,14.9,1.97
NH-37 (Silchar-Imphal),16.0,865.7,39.9,197.2,556.6,19.6,1052.5,0.426,1,3,0.4,1,0.2925,1,49.1,2.84
NH-27 (East-West Corridor),26.6,739.8,7.1,51.2,168.0,46.5,1060.6,0.216,1,1,0.5372,0,0.0536,0,0.0,2.83
NH-06 (Guwahati-Shillong),38.3,2121.3,0.0,0.0,0.1,37.3,2483.9,0.669,0,2,0.2099,0,0.0254,0,0.0,1.94
NH-37 (Silchar-Imphal),42.2,366.4,57.1,380.0,750.0,24.2,430.6,0.39,1,3,0.9177,1,0.465,1,91.0,4.45
NH-37 (Silchar-Imphal),26.1,2196.0,2.1,4.2,7.5,20.3,150.9,0.711,3,3,0.0678,0,0.128,0,0.0,1.58
NH-15 (North Bank Brahmaputra),21.0,1602.1,7.6,87.9,225.7,27.0,403.9,0.462,5,2,0.5932,1,0.1995,0,0.0,2.95
NH-10 (Siliguri-Gangtok),50.9,1882.7,18.0,120.7,339.7,49.3,346.6,0.861,4,1,0.951,1,0.4489,1,60.3,4.59
NH-37 (Silchar-Imphal),57.3,895.0,18.9,129.4,355.0,46.5,1017.4,0.292,0,1,0.943,1,0.2686,1,52.9,4.34
NH-37 (Silchar-Imphal),37.6,376.5,1.9,3.1,4.2,40.8,953.5,0.734,1,1,0.2281,0,0.0364,0,0.0,2.14
NH-37 (Silchar-Imphal),22.4,1715.1,30.0,196.6,508.5,18.6,870.1,0.713,2,3,0.5401,1,0.3162,1,47.8,3.16
NH-06 (Guwahati-Shillong),26.7,1893.2,0.0,0.1,0.1,53.2,163.1,0.645,3,3,0.0827,0,0.127,0,0.0,1.61
NH-06 (Guwahati-Shillong),15.8,1719.9,3.1,4.3,8.5,27.2,1193.9,0.349,2,2,0.027,0,0.0301,0,0.0,1.54
NH-37 (Silchar-Imphal),54.3,614.3,0.2,0.4,0.6,39.3,462.7,0.646,0,2,0.3066,0,0.0601,0,0.0,2.18
NH-15 (North Bank Brahmaputra),20.1,1743.8,64.7,380.0,750.0,47.1,1025.0,0.573,4,3,0.5681,1,0.3081,0,0.0,2.85
NH-10 (Siliguri-Gangtok),39.8,1772.5,1.7,2.5,4.4,20.3,800.6,0.221,2,1,0.296,0,0.0394,0,0.0,2.29
NH-37 (Silchar-Imphal),26.8,1568.3,1.9,4.2,5.7,41.1,485.7,0.83,6,2,0.0968,0,0.0588,0,0.0,1.72
Guwahati-Jalukbari-Khanapara Urban,38.8,1767.3,17.5,111.3,343.1,16.3,265.6,0.488,3,3,0.9124,1,0.429,0,0.0,3.73
Guwahati-Jalukbari-Khanapara Urban,43.0,1915.0,8.2,79.5,213.3,19.1,229.3,0.817,4,1,0.9247,1,0.2606,1,28.2,4.1
NH-27 (East-West Corridor),50.7,1485.2,10.8,77.0,247.9,43.9,1574.7,0.538,3,4,0.9371,1,0.0716,0,0.0,3.28
Guwahati-Jalukbari-Khanapara Urban,23.9,513.9,43.4,286.7,663.4,21.2,2154.7,0.727,2,4,0.5748,0,0.241,0,0.0,2.65
NH-27 (East-West Corridor),15.5,1252.1,0.6,0.8,0.9,32.7,989.4,0.395,2,3,0.0247,0,0.0312,0,0.0,1.39
NH-27 (East-West Corridor),20.9,493.7,28.2,154.6,454.6,24.9,237.3,0.589,5,2,0.6017,1,0.5871,1,87.0,4.01
NH-27 (East-West Corridor),53.7,1104.0,34.4,147.9,388.7,31.8,561.4,0.576,0,2,0.9294,1,0.4032,0,0.0,3.89
NH-27 (East-West Corridor),52.6,1103.1,2.3,4.5,5.8,18.1,1194.3,0.492,1,2,0.3239,1,0.0296,0,0.0,2.19
NH-37 (Silchar-Imphal),40.7,472.1,2.3,4.9,8.6,45.2,1360.7,0.394,3,2,0.3307,0,0.0294,0,0.0,2.21
NH-15 (North Bank Brahmaputra),40.8,995.3,0.5,1.0,1.7,18.2,250.6,0.08,3,3,0.3153,0,0.0914,0,0.0,2.08
NH-06 (Guwahati-Shillong),43.6,555.3,1.5,4.3,6.6,48.5,150.0,0.398,1,2,0.3175,1,0.1404,0,0.0,2.29
Guwahati-Jalukbari-Khanapara Urban,22.5,1845.2,27.9,206.8,483.8,41.5,1146.2,0.676,2,5,0.5459,1,0.2687,0,0.0,2.47
Guwahati-Jalukbari-Khanapara Urban,54.3,2103.2,42.1,215.2,526.8,31.7,502.8,0.299,6,5,0.9539,1,0.4054,0,0.0,3.5
Guwahati-Jalukbari-Khanapara Urban,33.0,483.8,17.8,126.4,381.6,49.7,384.9,0.336,4,4,0.8829,1,0.4018,0,0.0,3.49
